Year,County,Place,CFIPS,PFIPS,Total Population,Household Population,Group Quarters Population,Household Size,Total Housing Units,Occupied Housing Units,Vacant Housing Units,Vacancy Percent,Household Pop to Housing Units Ratio
2010,Las Animas County,Aguilar,71,760,534,534,0,2.49,269,214.0,55.0,20.34,1.9851301115241635
2010,Washington County,Akron,121,925,1651,1467,184,2.22,815,660.0,155.0,18.98,1.8
2010,Alamosa County,Alamosa,3,1090,8796,8124,672,2.37,3675,3433.0,242.0,6.59,2.210612244897959
2010,Park County,Alma,93,1530,271,271,0,2.2,169,123.0,46.0,26.98,1.6035502958579881
2010,Conejos County,Antonito,21,2355,783,782,1,2.46,375,318.0,57.0,15.23,2.0853333333333333
2010,Lincoln County,Arriba,73,3235,193,193,0,2.24,117,86.0,31.0,26.36,1.6495726495726495
2010,Adams County,Arvada (Part),1,3455,2857,2851,6,2.57,1151,1111.0,40.0,3.48,2.476976542137272
2010,Jefferson County,Arvada (Part),59,3455,103924,103424,500,2.48,43364,41730.0,1634.0,3.77,2.3850198321188083
2010,Pitkin County,Aspen,97,3620,6659,6617,42,1.88,5931,3517.0,2414.0,40.7,1.1156634631596696
2010,Weld County,Ault,123,3950,1523,1523,0,2.63,615,579.0,36.0,5.85,2.4764227642276424
2010,Adams County,Aurora (Part),1,4000,39978,39074,904,3.07,14132,12707.0,1425.0,10.08,2.7649306538352674
2010,Arapahoe County,Aurora (Part),5,4000,286285,284633,1652,2.6,117205,109648.0,7557.0,6.45,2.428505609828932
2010,Douglas County,Aurora (Part),35,4000,156,156,0,2.84,64,55.0,9.0,14.06,2.4375
2010,Eagle County,Avon,37,4110,6422,6422,0,2.88,3483,2228.0,1255.0,36.04,1.843812805053115
2010,Eagle County,Basalt (Part),37,4935,2917,2917,0,2.57,1318,1134.0,184.0,13.94,2.2132018209408195
2010,Pitkin County,Basalt (Part),97,4935,931,931,0,2.38,514,392.0,122.0,23.74,1.811284046692607
2010,La Plata County,Bayfield,67,5265,2357,2357,0,2.58,976,912.0,64.0,6.56,2.4149590163934427
2010,Adams County,Bennett (Part),1,6090,1961,1961,0,2.74,772,716.0,56.0,7.25,2.540155440414508
2010,Arapahoe County,Bennett (Part),5,6090,353,353,0,2.94,126,120.0,6.0,4.76,2.8015873015873014
2010,Larimer County,Berthoud (Part),69,6255,5040,4971,69,2.51,2064,1979.0,85.0,4.12,2.4084302325581395
2010,Weld County,Berthoud (Part),123,6255,63,63,0,3.32,20,19.0,1.0,5.0,3.15
2010,Kit Carson County,Bethune,63,6530,237,237,0,3.23,79,73.0,6.0,7.14,3.0
2010,Gilpin County,Black Hawk,47,7025,118,118,0,2.16,74,55.0,19.0,26.09,1.5945945945945945
2010,Costilla County,Blanca,23,7190,383,383,0,3.13,146,123.0,23.0,16.07,2.6232876712328768
2010,Summit County,Blue River,117,7410,851,851,0,2.53,726,337.0,389.0,53.58,1.1721763085399448
2010,Saguache County,Bonanza City,109,7571,16,16,0,2.17,31,7.0,24.0,76.19,0.5161290322580645
2010,Pueblo County,Boone,101,7795,340,332,8,2.39,182,139.0,43.0,23.63,1.8241758241758241
2010,Boulder County,Boulder,13,7850,97901,89349,8552,2.16,43497,41365.0,2132.0,4.9,2.05414166494241
2010,Arapahoe County,Bow Mar (Part),5,8070,590,590,0,2.96,204,199.0,5.0,2.45,2.892156862745098
2010,Jefferson County,Bow Mar (Part),59,8070,277,277,0,3.04,98,91.0,7.0,7.14,2.826530612244898
2010,Las Animas County,Branson,71,8345,73,73,0,2.16,46,34.0,12.0,26.67,1.5869565217391304
2010,Summit County,Breckenridge,117,8400,4552,4449,103,2.28,6915,1951.0,4964.0,71.79,0.6433839479392625
2010,Adams County,Brighton (Part),1,8675,33102,31556,1546,2.95,11270,10709.0,561.0,4.98,2.8
2010,Weld County,Brighton (Part),123,8675,344,344,0,3.1,117,111.0,6.0,5.13,2.9401709401709404
2010,Fremont County,Brookside,43,9115,233,233,0,2.73,90,86.0,4.0,5.0,2.588888888888889
2010,Broomfield County,Broomfield,14,9280,56107,55825,282,2.6,22685,21498.0,1187.0,5.23,2.4608772316508705
2010,Morgan County,Brush,87,9555,5468,5095,373,2.63,2128,1937.0,191.0,8.98,2.394266917293233
2010,Chaffee County,Buena Vista,15,10105,2618,2618,0,2.19,1381,1194.0,187.0,13.54,1.8957277335264302
2010,Kit Carson County,Burlington,63,10600,4253,3184,1069,2.37,1468,1342.0,126.0,8.59,2.1689373297002725
2010,El Paso County,Calhan,41,11260,784,784,0,2.51,348,312.0,36.0,10.34,2.2528735632183907
2010,Baca County,Campo,9,11645,109,109,0,2.68,65,41.0,24.0,37.33,1.676923076923077
2010,Fremont County,Canon City,43,11810,16391,14817,1574,2.19,7449,6773.0,676.0,9.07,1.9891260571888845
2010,Garfield County,Carbonate,45,12030,0,0,0,0.0,0,0.0,0.0,0.0,0.0
2010,Garfield County,Carbondale,45,12045,6398,6293,105,2.86,2426,2203.0,223.0,9.2,2.593981863149217
2010,Douglas County,Castle Pines,35,12387,10384,10376,8,2.97,3637,3498.0,139.0,3.82,2.8529007423700854
2010,Douglas County,Castle Rock,35,12415,48580,48037,543,2.86,17697,16781.0,916.0,5.18,2.7144148725772728
2010,Delta County,Cedaredge,29,12635,2248,2248,0,2.11,1180,1066.0,114.0,9.66,1.9050847457627118
2010,Arapahoe County,Centennial,5,12815,100555,98854,1701,2.63,38801,37517.0,1284.0,3.31,2.5477178423236513
2010,Rio Grande County,Center (Part),105,12855,218,218,0,4.49,53,49.0,4.0,8.33,4.113207547169812
2010,Saguache County,Center (Part),109,12855,2011,2011,0,2.93,807,686.0,121.0,14.96,2.4919454770755887
2010,Clear Creek County,Central City (Part),19,12910,0,0,0,0.0,0,0.0,0.0,0.0,0.0
2010,Gilpin County,Central City (Part),47,12910,668,668,0,1.92,493,348.0,145.0,29.45,1.354969574036511
2010,Otero County,Cheraw,89,13460,252,252,0,2.87,100,88.0,12.0,12.17,2.52
2010,Arapahoe County,Cherry Hills Village,5,13845,6019,6019,0,2.97,2160,2028.0,132.0,6.11,2.786574074074074
2010,Cheyenne County,Cheyenne Wells,17,14175,845,818,27,2.26,407,361.0,46.0,11.19,2.0098280098280097
2010,Mineral County,City of Creede,79,14765,287,287,0,2.18,226,131.0,95.0,41.85,1.2699115044247788
2010,Fremont County,Coal Creek,43,15330,343,343,0,2.51,155,137.0,18.0,11.88,2.2129032258064516
2010,Las Animas County,Cokedale,71,15550,128,128,0,2.64,86,48.0,38.0,43.62,1.4883720930232558
2010,Mesa County,Collbran,77,15605,704,469,235,2.51,221,187.0,34.0,15.38,2.1221719457013575
2010,El Paso County,Colorado Springs,41,16000,420691,412154,8537,2.44,180264,169165.0,11099.0,6.16,2.2863910708738295
2010,Arapahoe County,Columbine Valley,5,16385,1258,1258,0,2.56,530,492.0,38.0,7.17,2.3735849056603775
2010,Adams County,Commerce City,1,16495,46142,45791,351,3.15,15484,14552.0,932.0,6.02,2.95731077241023
2010,Montezuma County,Cortez,83,17375,8484,8358,126,2.33,3889,3592.0,297.0,7.64,2.149138596040113
2010,Moffat County,Craig,81,17760,9468,9369,99,2.53,3999,3710.0,289.0,7.22,2.3428357089272316
2010,Delta County,Crawford,29,17925,430,430,0,2.39,212,180.0,32.0,15.09,2.0283018867924527
2010,Gunnison County,Crested Butte,51,18310,1482,1482,0,2.05,1069,723.0,346.0,32.37,1.3863423760523854
2010,Saguache County,Crestone,109,18420,154,154,0,3.11,78,50.0,28.0,36.52,1.9743589743589745
2010,Teller County,Cripple Creek,119,18530,1193,1193,0,2.15,727,554.0,173.0,23.8,1.640990371389271
2010,Logan County,Crook,75,18640,110,110,0,1.98,74,56.0,18.0,25.0,1.4864864864864864
2010,Crowley County,Crowley,25,18750,177,177,0,2.43,81,73.0,8.0,10.23,2.185185185185185
2010,Weld County,Dacono,123,19080,4176,4176,0,2.85,1560,1467.0,93.0,5.96,2.6769230769230767
2010,Mesa County,De Beque,77,19355,500,498,2,2.65,222,188.0,34.0,15.32,2.2432432432432434
2010,Arapahoe County,Deer Trail,5,19630,547,547,0,2.38,274,230.0,44.0,16.06,1.9963503649635037
2010,Rio Grande County,Del Norte,105,19795,1688,1647,41,2.57,799,641.0,158.0,19.74,2.0613266583229035
2010,Delta County,Delta,29,19850,8897,8761,136,2.49,3826,3523.0,303.0,7.92,2.2898588604286463
2010,Denver County,Denver,31,20000,604879,588898,15981,2.22,287392,265233.0,22159.0,7.71,2.0491106224251197
2010,Summit County,Dillon,117,20440,906,906,0,1.99,1290,456.0,834.0,64.65,0.7023255813953488
2010,Moffat County,Dinosaur,81,20495,339,339,0,3.12,145,109.0,36.0,25.14,2.3379310344827586
2010,Montezuma County,Dolores,83,20770,936,927,9,2.21,488,420.0,68.0,13.97,1.8995901639344261
2010,Dolores County,Dove Creek,33,21265,734,734,0,2.58,331,284.0,47.0,14.17,2.217522658610272
2010,La Plata County,Durango,67,22035,16889,15267,1622,2.18,7851,7018.0,833.0,10.61,1.9445930454719145
